url,name,status,kind,reason,startup,ratio,kbps,declared_kbps,n_variants,res,target,window,endlist,attempts_a,attempts_b
http://103.165.93.31:8095/nationalGeographic/index.m3u8,"National Geographic HD (576p)",OK,hls,,3.03,2.8,3188,3010,1,1920x1080,6,24.0,0,1,1
http://103.185.24.134:3001/ETV-BAL-BHARAT/index.m3u8,"ETV Bal Bharat (576p)",OK,hls,,3.87,2.18,2875,2780,1,1048x576,6,24.0,0,1,1
http://103.185.24.134:3001/NICK/index.m3u8,"Nickelodeon (576p)",SLOW,hls,,4.39,2.27,2913,2950,1,1048x576,6,24.0,0,1,2
http://103.185.24.134:3001/SONIC/index.m3u8,"Sonic (576p)",OK,hls,,3.61,2.4,2635,2830,1,1048x576,6,24.0,0,1,1
http://103.72.101.252:8080/live/1455.m3u8,"Janapriyam TV (480p)",DEAD,,timeout,,,,,,,,,,2,0
http://103.85.204.205:1935/VISIONMEDIA/live/playlist.m3u8,"Vision (576p)",DEAD,,timeout,,,,,,,,,,2,0
http://131.153.22.8:1935/MAYYAZHI/live/playlist.m3u8,"Mayyazhi (720p) [Not 24/7]",DEAD,,timeout,,,,,,,,,,2,0
http://cloud.logicwebs.in:1935/live/malabarnews/playlist.m3u8,"Malabar News (720p) [Not 24/7]",DEAD,,timeout,,,,,,,,,,2,0
http://kl.logicwebs.in:1935/sreemedia/sreemedia/playlist.m3u8,"We One Kerala (720p) [Geo-blocked]",DEAD,,timeout,,,,,,,,,,2,0
http://main.light-ott.net:80/play/live.php?mac=00:1A:79:17:28:41&stream=373017&extension=ts&play_token=zCaGy5dtla,"National Geographic (576p) [Geo-blocked]",OK,direct,,0.72,,3927,,,,,,,1,1
http://rtmp2.logicwebs.in:1935/msign/msignmedia/playlist.m3u8,"M Sign Media (720p) [Not 24/7]",DEAD,,timeout,,,,,,,,,,2,0
http://server.applelive.in/kalikatv/kalikatv.m3u8,"Kalika TV (576p)",OK,hls,,2.29,3.27,2193,,1,,6,36.0,0,1,1
http://tvsen7.aynascope.net/sspts1/index.m3u8,"Star Sports Select 1 HD (720p)",DEAD,,http_404,,,,,,,,,,1,0
https://2-fss-2.streamhoster.com/pl_120/206508-3261972-1/playlist.m3u8,"C Malayalam TV (1080p)",SLOW,hls,,4.46,2.25,5351,5508,1,1280x720,5,19.2,0,1,2
https://5a1178b42cc03.streamlock.net/8210/8210/playlist.m3u8,"VCV (720p) [Not 24/7]",DEAD,,http_404,,,,,,,,,,1,0
https://5a1178b42cc03.streamlock.net/8212/8212/playlist.m3u8,"CCV (480p)",DEAD,,http_404,,,,,,,,,,1,0
https://5a1178b42cc03.streamlock.net/8220/8220/playlist.m3u8,"Starnet (480p)",OK,hls,,2.72,5.5,622,711,1,854x480,12,29.0,0,1,1
https://7mbd4ogkr3gx-hls-live.wmncdn.net/harvestenglish/d1796a22d24e8696c7d5d0b5c349fdd2.sdp/index.m3u8,"Harvest TV Keralam (720p)",OK,hls,,3.31,5.67,1398,1341,1,1280x720,8,36.0,0,1,1
https://7mbd4ogkr3gx-hls-live.wmncdn.net/harvesttvlive1/bbb19eae240ec100af921d511efc86a0.sdp/index.m3u8,"Harvest TV (720p)",OK,hls,,3.13,5.58,1836,1798,1,1280x720,8,37.3,0,1,1
https://932y4x26ljv8-hls-live.5centscdn.com/victers/tv.stream/playlist.m3u8,"KITE Victers (Kerala) (720p) [Not 24/7]",OK,hls,,2.48,5.64,3236,3235,1,1920x1080,7,36.0,0,1,1
https://amg13737-amg13737c1-amgplt0016.playout.now3.amagi.tv/playlist/amg13737-amg13737c1-amgplt0016/playlist.m3u8,"Asianet News (1080p)",DEAD,,http_403,,,,,,,,,,1,0
https://bk7l298nyx53-hls-live.5centscdn.com/realnews/e7dee419f91aa9e65939d3677fb9c4f5.sdp/playlist.m3u8,"Real News Kerala (1080p) [Not 24/7]",OK,hls,,2.72,4.53,2446,2763,1,1920x1080,6,36.0,0,1,1
https://cdn-3.pishow.tv/live/1467/master.m3u8,"Jeevan TV (576p)",DEAD,,http_404,,,,,,,,,,1,0
https://cdn-3.pishow.tv/live/1469/master.m3u8,"Kairali News (720p)",DEAD,,http_404,,,,,,,,,,1,0
https://cdn-3.pishow.tv/live/1481/master.m3u8,"Media One (720p)",DEAD,,http_404,,,,,,,,,,1,0
https://cdn-3.pishow.tv/live/1629/master.m3u8,"News Malayalam 24x7 (576p)",DEAD,,http_404,,,,,,,,,,1,0
https://cdn-6.pishow.tv/live/1513/master.m3u8,"Safari TV",DEAD,,http_404,,,,,,,,,,1,0
https://cdn-7.pishow.tv/live/1129/master.m3u8,"Mazhavil Manorama HD (1080p)",DEAD,,http_404,,,,,,,,,,1,0
https://cloudplay-sonyliv.pages.dev/ten1hd.m3u8,"Sony Sports Ten 1 HD (1080p)",DEAD,hls,media_http_403,,,,4571,8,1920x1080,,,,1,1
https://cloudplay-sonyliv.pages.dev/ten5.m3u8,"Sony Sports Ten 5 (1080p)",DEAD,hls,media_http_403,,,,4571,8,1920x1080,,,,1,1
https://cloudplay-sonyliv.pages.dev/ten5hd.m3u8,"Sony Sports Ten 5 HD (1080p)",DEAD,hls,media_http_403,,,,4571,8,1920x1080,,,,1,1
https://cloudplay-sonyliv.pages.dev/yay.m3u8,"Sony Yay! (1080p)",DEAD,hls,media_http_403,,,,4571,8,1920x1080,,,,1,1
https://cloudsavre.in.net/hls/stream.m3u8,"Wayanad Vision (1080p)",DEAD,,timeout,,,,,,,,,,2,0
